,date,time,temp,dewpoint,humidity,wind,windspeed,windgust,pressurre,precip,condit
110,2019-01-03,8:20 AM,39 °F,36 °F,87 %,NW,6 mph,0 mph,30.54 in,0.0 in,Fair
111,2019-01-03,8:50 AM,39 °F,36 °F,87 %,WNW,6 mph,0 mph,30.57 in,0.0 in,Fair
112,2019-01-03,9:20 AM,39 °F,36 °F,87 %,WNW,5 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
113,2019-01-03,9:50 AM,39 °F,36 °F,87 %,WNW,7 mph,0 mph,30.57 in,0.0 in,Fair
114,2019-01-03,10:20 AM,39 °F,36 °F,87 %,NW,5 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
115,2019-01-03,10:50 AM,39 °F,36 °F,87 %,NNW,5 mph,0 mph,30.57 in,0.0 in,Light Rain
116,2019-01-03,11:20 AM,39 °F,36 °F,87 %,NW,3 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
117,2019-01-03,11:50 AM,39 °F,36 °F,87 %,NW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
118,2019-01-03,12:20 PM,39 °F,36 °F,87 %,NW,8 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
119,2019-01-03,12:50 PM,39 °F,36 °F,87 %,NW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
120,2019-01-03,1:20 PM,41 °F,37 °F,87 %,NNW,5 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
121,2019-01-03,1:50 PM,41 °F,36 °F,81 %,NW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
122,2019-01-03,2:20 PM,41 °F,36 °F,81 %,NNW,6 mph,0 mph,30.57 in,0.0 in,Light Rain
123,2019-01-03,2:50 PM,41 °F,36 °F,81 %,NNW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
124,2019-01-03,3:20 PM,41 °F,36 °F,81 %,NNW,6 mph,0 mph,30.54 in,0.0 in,Mostly Cloudy
125,2019-01-03,3:50 PM,41 °F,36 °F,81 %,NW,6 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
126,2019-01-03,4:20 PM,41 °F,36 °F,81 %,N,7 mph,0 mph,30.57 in,0.0 in,Light Rain
127,2019-01-03,4:50 PM,39 °F,36 °F,87 %,N,5 mph,0 mph,30.57 in,0.0 in,Fair
128,2019-01-03,5:20 PM,39 °F,36 °F,87 %,NNW,2 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
129,2019-01-03,5:50 PM,39 °F,36 °F,87 %,NW,2 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
130,2019-01-03,6:20 PM,41 °F,36 °F,81 %,NW,3 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
131,2019-01-03,6:50 PM,41 °F,36 °F,81 %,NW,5 mph,0 mph,30.57 in,0.0 in,Mostly Cloudy
